
                    V                          LATITUDE     LONGITUDE   OBSTACLE             AGL  AMSL  LT ACC MAR  FAA
ACTION    OAS#      S CT ST CITY             DEG MIN SEC  DEG MIN SEC   TYPE                  HT    HT     H V IND STUDY          JDATE
----------------------------------------------------------------------------------------------------------------------------------------
OLD       01-002145 O US AL ALEXANDER CITY   32 56 09.47N 085 58 20.77W TOWER              1 00169 00868 D 1 A N 1999ASO00520OE C2012332 
NEW       01-002145 O US AL ALEXANDER CITY   32 56 09.27N 085 58 20.86W TOWER              1 00156 00864 D 2 C N 2024ASO05475OE C2025007 
OLD       01-002164 O US AL GUNTERSVILLE     34 20 09.00N 086 17 02.00W TOWER              1 00194 01295 N 3 C N 1991ASO00390OE C2014138 
NEW       01-002164 O US AL GUNTERSVILLE     34 20 09.10N 086 17 01.63W TOWER              1 00194 01095 N 3 C N 2024ASO14564OE C2024330 
OLD       01-002172 O US AL WOODVILLE        34 36 50.00N 086 16 16.00W TOWER              1 00320 00930 D 2 C N 1999ASO02913OE C2014138 
NEW       01-002172 O US AL WOODVILLE        34 36 49.93N 086 16 15.50W TOWER              1 00320 00930 D 2 C N 2024ASO19951OE C2024362 
OLD       01-002205 O US AL GREENVILLE       31 44 12.00N 086 42 37.00W TOWER              1 00349 00690 D 5 D N 1999ASO05972OE C2014138 
NEW       01-002205 O US AL GREENVILLE       31 44 12.77N 086 42 36.97W TOWER              1 00354 00695 D 4 D N 2024ASO19961OE C2024366 
OLD       01-002212 O US AL OLIVER           34 48 49.00N 087 14 55.00W TOWER              1 00320 00971 D 5 D N 1999ASO03017OE C2014138 
NEW       01-002212 O US AL ROGERSVILLE      34 48 48.52N 087 14 55.22W TOWER              1 00303 00954 D 4 D N 2024ASO17744OE C2024362 
OLD       01-002299 O US AL HAMILTON         34 06 44.36N 088 01 28.11W TOWER              1 00115 00858 M 4 D N 2000ASO00183OE C2022117 
NEW       01-002299 O US AL HAMILTON         34 06 44.47N 088 01 23.84W TOWER              1 00110 00857 M 4 D N 2024ASO19958OE C2024338 
OLD       01-002301 O US AL AUBURN           32 33 46.72N 085 29 56.12W TOWER              1 00312 00883 D 2 C N 2008ASO06516OE C2017048 
NEW       01-002301 O US AL AUBURN           32 33 46.72N 085 29 56.12W TOWER              1 00312 00883 D 2 C N 2024ASO19949OE C2024362 
OLD       01-002522 O US AL ARDMORE          34 59 00.00N 086 51 10.00W TOWER              1 00320 01182 D 2 C N 2000ASO08703OE C2002314 
NEW       01-002522 O US AL ARDMORE          34 58 59.91N 086 51 09.67W TOWER              1 00320 01182 D 2 C N 2024ASO17291OE C2024331 
OLD       01-002764 O US AL ROBERTSDALE      30 34 48.25N 087 28 27.91W TOWER              1 00302 00371 D 1 A N 2006ASO02736OE C2007021 
